epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,291.684,1.3751,1.43437,1.23196,0.90778,0.92333,0.94744,0.64195,1.1463,0.73833,1.12685,0.00333164,0.00333164,0.00333164
2,557.723,1.26135,0.95663,1.17513,0.89748,0.91197,0.9516,0.63743,1.19947,0.67397,1.1686,0.00653301,0.00653301,0.00653301
3,801.208,1.28835,0.89453,1.19837,0.92423,0.92002,0.95789,0.66101,1.15157,0.5816,1.15135,0.00960238,0.00960238,0.00960238
4,1040.12,1.2745,0.85318,1.19785,0.93425,0.93223,0.96714,0.70046,1.04579,0.5165,1.09489,0.009406,0.009406,0.009406
5,1276.53,1.20808,0.77923,1.16641,0.92,0.94217,0.9654,0.70444,1.04378,0.49922,1.08921,0.009208,0.009208,0.009208
6,1513.12,1.17111,0.734,1.14801,0.93245,0.94872,0.97123,0.72575,0.99506,0.46646,1.06344,0.00901,0.00901,0.00901
7,1749.62,1.13951,0.70756,1.13559,0.94991,0.9446,0.97426,0.74196,0.95042,0.43657,1.04824,0.008812,0.008812,0.008812
8,1989.26,1.11048,0.67988,1.1214,0.95297,0.94987,0.97788,0.75333,0.92449,0.41633,1.03582,0.008614,0.008614,0.008614
9,2225.56,1.08694,0.66604,1.11393,0.94747,0.95942,0.97841,0.76268,0.90324,0.40268,1.02192,0.008416,0.008416,0.008416
10,2461.6,1.0749,0.65072,1.10611,0.95474,0.96408,0.978,0.77139,0.87851,0.38495,1.01054,0.008218,0.008218,0.008218
11,2699.93,1.05487,0.63513,1.09567,0.95385,0.96044,0.97979,0.77548,0.87482,0.3812,1.00821,0.00802,0.00802,0.00802
12,2933.72,1.03943,0.62423,1.09252,0.95519,0.96457,0.98115,0.78057,0.8636,0.37112,1.0031,0.007822,0.007822,0.007822
13,3168.7,1.02802,0.61297,1.08732,0.96142,0.95799,0.98068,0.78537,0.83738,0.36385,0.99058,0.007624,0.007624,0.007624
14,3403.92,1.01998,0.6033,1.08287,0.96308,0.96413,0.98196,0.7896,0.83156,0.35002,0.98922,0.007426,0.007426,0.007426
15,3628.56,1.01077,0.59601,1.07882,0.9611,0.9673,0.98195,0.79137,0.82892,0.3479,0.98763,0.007228,0.007228,0.007228
16,3850.02,1.00093,0.58908,1.07565,0.96205,0.96847,0.98175,0.79429,0.8186,0.34115,0.98235,0.00703,0.00703,0.00703
17,4087.33,0.98686,0.57967,1.06924,0.96081,0.96634,0.98197,0.79696,0.809,0.33558,0.97837,0.006832,0.006832,0.006832
18,4317.63,0.98234,0.57516,1.06936,0.96222,0.96734,0.98159,0.80212,0.80194,0.33214,0.97446,0.006634,0.006634,0.006634
19,4548.38,0.9755,0.57038,1.06548,0.9679,0.96619,0.98284,0.80425,0.79534,0.32599,0.97283,0.006436,0.006436,0.006436
20,4778.88,0.9681,0.56064,1.06231,0.96784,0.96527,0.98283,0.80704,0.78273,0.32071,0.96812,0.006238,0.006238,0.006238
21,5009.43,0.95854,0.55672,1.05837,0.96631,0.97116,0.98193,0.80702,0.78329,0.31947,0.96813,0.00604,0.00604,0.00604
22,5239.28,0.95102,0.54931,1.05312,0.96412,0.97181,0.98262,0.80826,0.77877,0.3169,0.96628,0.005842,0.005842,0.005842
23,5468.72,0.94678,0.54672,1.05195,0.96663,0.97155,0.98402,0.81216,0.77743,0.31226,0.96398,0.005644,0.005644,0.005644
24,5698.35,0.93729,0.53736,1.0474,0.96413,0.97548,0.98393,0.81505,0.77339,0.30816,0.96193,0.005446,0.005446,0.005446
25,5927.68,0.92859,0.53105,1.04696,0.97155,0.97141,0.98483,0.81846,0.76625,0.30471,0.9594,0.005248,0.005248,0.005248
26,6162.48,0.92324,0.52732,1.04305,0.97032,0.97369,0.98442,0.82021,0.75892,0.30097,0.9569,0.00505,0.00505,0.00505
27,6396.8,0.91169,0.51913,1.038,0.97096,0.97469,0.9845,0.82321,0.75263,0.29741,0.95489,0.004852,0.004852,0.004852
28,6623.91,0.91028,0.51549,1.03592,0.97013,0.97426,0.9846,0.8241,0.75037,0.29636,0.95383,0.004654,0.004654,0.004654
29,6836.13,0.90377,0.50842,1.03359,0.96944,0.97582,0.98453,0.82405,0.74651,0.29439,0.95244,0.004456,0.004456,0.004456
30,7051.01,0.89968,0.50479,1.03292,0.96944,0.97635,0.98451,0.82609,0.74325,0.29292,0.95076,0.004258,0.004258,0.004258
