epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.375,1.39439,2.04154,1.7386,0.11619,0.15017,0.04585,0.0161,2.38366,3.91139,2.62891,0.000665537,0.000665537,0.000665537
2,253.438,1.48511,1.84747,1.8096,0.46148,0.49388,0.45711,0.18332,2.03139,1.88149,2.40366,0.00130583,0.00130583,0.00130583
3,370.166,1.46892,1.79258,1.80458,0.59866,0.55729,0.56374,0.20878,2.04543,1.8187,2.4186,0.00191971,0.00191971,0.00191971
4,486.168,1.42553,1.71667,1.75854,0.443,0.45738,0.401,0.14155,2.10533,2.10823,2.47449,0.0018812,0.0018812,0.0018812
5,620.309,1.38925,1.62906,1.72862,0.64102,0.62959,0.66077,0.28774,1.75864,1.46103,2.09828,0.0018416,0.0018416,0.0018416
6,754.526,1.358,1.58695,1.7051,0.57294,0.68076,0.65105,0.29849,1.76785,1.45878,2.12459,0.001802,0.001802,0.001802
7,889.997,1.32576,1.53361,1.6838,0.68076,0.69188,0.71157,0.30375,1.84858,1.37404,2.11725,0.0017624,0.0017624,0.0017624
8,1012.1,1.30342,1.46498,1.65378,0.65175,0.68298,0.69914,0.30548,1.85095,1.36575,2.15658,0.0017228,0.0017228,0.0017228
9,1147.78,1.28583,1.45191,1.64087,0.67079,0.65851,0.7066,0.32936,1.68497,1.30662,2.03557,0.0016832,0.0016832,0.0016832
10,1266.7,1.27687,1.40655,1.63578,0.70495,0.68966,0.7354,0.35857,1.67772,1.29097,2.00395,0.0016436,0.0016436,0.0016436
11,1385.98,1.25064,1.37859,1.61223,0.6964,0.66296,0.72166,0.36514,1.61557,1.28574,1.92356,0.001604,0.001604,0.001604
12,1500.72,1.24392,1.35653,1.60302,0.68733,0.70078,0.72659,0.35129,1.64493,1.25107,1.96267,0.0015644,0.0015644,0.0015644
13,1617.84,1.23072,1.33235,1.59583,0.70958,0.73415,0.77206,0.42095,1.50095,1.12298,1.83322,0.0015248,0.0015248,0.0015248
14,1739.58,1.21767,1.30385,1.58381,0.74181,0.71588,0.76696,0.38919,1.63289,1.17202,1.94276,0.0014852,0.0014852,0.0014852
15,1869.41,1.20282,1.27225,1.57059,0.7591,0.77976,0.82486,0.44755,1.54499,1.0268,1.83811,0.0014456,0.0014456,0.0014456
16,1996.83,1.19216,1.25437,1.55702,0.76472,0.75083,0.80398,0.43473,1.55531,1.04654,1.84614,0.001406,0.001406,0.001406
17,2125.29,1.17663,1.23054,1.54328,0.77418,0.78087,0.8272,0.43956,1.58484,1.03495,1.90018,0.0013664,0.0013664,0.0013664
18,2247.79,1.16372,1.20377,1.53633,0.77825,0.76529,0.81783,0.45225,1.52757,1.00682,1.82001,0.0013268,0.0013268,0.0013268
19,2364.15,1.15613,1.19271,1.52763,0.80492,0.78024,0.83488,0.46327,1.47605,0.99284,1.79212,0.0012872,0.0012872,0.0012872
20,2483.56,1.14159,1.16358,1.51638,0.79789,0.75417,0.83753,0.48643,1.40017,0.99086,1.7151,0.0012476,0.0012476,0.0012476
21,2635.87,1.13999,1.15306,1.51389,0.76252,0.76529,0.82632,0.46007,1.50074,0.99396,1.79672,0.001208,0.001208,0.001208
22,2755.48,1.12981,1.12924,1.50097,0.8139,0.76863,0.84055,0.47267,1.47607,0.95388,1.77989,0.0011684,0.0011684,0.0011684
23,2875.52,1.11466,1.12046,1.49288,0.80452,0.7691,0.84934,0.46336,1.50679,0.95743,1.81292,0.0011288,0.0011288,0.0011288
24,2995.99,1.11392,1.11538,1.49454,0.8005,0.78999,0.84387,0.47592,1.46718,0.93891,1.78146,0.0010892,0.0010892,0.0010892
25,3114.43,1.10167,1.09093,1.48066,0.80064,0.79519,0.84724,0.47042,1.50361,0.9454,1.81794,0.0010496,0.0010496,0.0010496
26,3233.07,1.09879,1.07503,1.4791,0.8188,0.7931,0.84976,0.50664,1.38155,0.8976,1.70016,0.00101,0.00101,0.00101
27,3355.12,1.07737,1.05831,1.45681,0.82036,0.79533,0.8605,0.49199,1.46183,0.89082,1.78454,0.0009704,0.0009704,0.0009704
28,3480.24,1.07531,1.03696,1.45805,0.81678,0.7931,0.86934,0.50696,1.38979,0.86723,1.71462,0.0009308,0.0009308,0.0009308
29,3597.79,1.06424,1.03143,1.45171,0.81024,0.80743,0.86958,0.51424,1.38843,0.88114,1.70949,0.0008912,0.0008912,0.0008912
30,3714.84,1.05798,1.01593,1.44351,0.81198,0.81869,0.87211,0.50687,1.41357,0.8734,1.73051,0.0008516,0.0008516,0.0008516
